stop_name,stop_id,stop_lat,stop_lon
Antigua Carretera a Chapala,MM_A09_66,20.5824,-103.33198
Antigua Carretera a Chapala,MM_A09_67,20.58132,-103.33181
Antigua Carretera a Chapala,MM_A09_68,20.5801,-103.33162
Antigua Carretera a Chapala,MM_A09_69,20.57826,-103.33166
Antigua Carretera a Chapala,MM_A09_70,20.57753,-103.33187
Antonio Caso,MM_C105_39,20.65638,-103.24763
Antonio Caso,MM_C105_40,20.65439,-103.24753
Antonio Caso,MM_T19C05_01,20.65491,-103.2475
Antonio Ramírez,MM_C128_142,20.53212,-103.4316
Aquiles Serdán,MM_C12V1_06,20.55168,-103.43937
Arco Arabigo,MM_C121B_15,20.73803,-103.4106
Arco Del Triunfo - Arco Iris,MP-C-082,20.740448,-103.40796
Arco Iris,MM_C121B_13,20.74078,-103.40797
Arcos De Zapopan,MT-L3-101,20.741173,-103.4074
Arcos de la Estrella,ST_04_003,20.743912,-103.41071
Arcos de la Estrella,ST_04_071,20.743853,-103.41159
Arcos del Triunfo,ST_04_002,20.741383,-103.407
Arcos del Triunfo,ST_04_072,20.741165,-103.40784
Arena Guadalajara,MM_C23_06,20.71835,-103.3109
Arena Guadalajara,mxc_C23_STP_06,20.71835,-103.3109
Arequipa,MM_A20_94,20.51286,-103.36491
Aristides,MM_A17_16,20.60627,-103.34756
Aristides,MM_A17_31,20.60645,-103.34751
Arquimides,MM_C38V1_32,20.6627,-103.28788
Artemisa,MM_A06_23,20.60134,-103.34195
Artemisa,MM_A06_44,20.60141,-103.34208
Artes Plasticas,MM_A07_18,20.61692,-103.3443
Artes Plásticas,MM_003,20.616291,-103.3434
Artes Plásticas,MM_052,20.616772,-103.34375
Artes Plásticas,MM_A07_16,20.61496,-103.34821
Artesanos,MP-T-021,20.582493,-103.33633
Arturo Tolentino,MM_C27_98,20.71225,-103.29202
Arturo Tolentino,mxc_C27_STP_98,20.71225,-103.29202
Atemajac,MT-L1_17,20.716158,-103.354416
Atotonilco,MM_C136_08,20.75807,-103.43848
Atotonilco,MM_T19C01_01,20.75834,-103.4386
Atotonilco,ST_04_012,20.761868,-103.43565
Atotonilco,ST_04_064,20.761515,-103.43568
Atotonilco El Alto,mxc_C122_STP_93,20.69006,-103.26397
Auditorio,MT-L1_20,20.736023,-103.3505
Aurelio Ortega,MM_C37V1_76,20.66259,-103.30172
Autlan,MM_A07_7,20.60884,-103.35235
Av. Adolf Bernard Horn Junior,MM_A18_47,20.57749,-103.36118
Av. Adolf Bernard Horn Junior,MM_A19_39,20.54718,-103.3532
Av. Adolf Bernard Horn Junior,MM_A21_71,20.54684,-103.35284
Av. Adolfo López Mateos Sur,MM_T19C07_153,20.58079,-103.44825
Av. Artesanos,MM_T19C05_32,20.71271,-103.29746
Av. Artesanos,mxc_C69_STP_105,20.71271,-103.29742
Av. Aviación,MM_C110V1_14,20.74596,-103.44676
Av. Aviación,MM_C110V1_79,20.71291,-103.4569
Av. Belisario Dominguez,MM_C22_104,20.71346,-103.30072
Av. Belisario Dominguez,mxc_C22_STP_104,20.71346,-103.30072
Av. Camino Real,MM_A19_30,20.52984,-103.36986
Av. Cerro de Alcalá,MM_A19_122,20.49491,-103.35915
Av. Champagnat,MM_A19_94,20.5359,-103.36489
Av. Cihualpilli,MM_T13CC04_38,20.63372,-103.2436
Av. Cristobal Colón,MM_C101_61,20.60735,-103.40414
Av. Cristobal Colón Norte,MM_C100_39,20.60642,-103.40072
Av. De Las Palmares,MM_C68_172,20.7408,-103.41567
Av. De Las Palmeras,MM_T17_1_38,20.74105,-103.41629
